15000 105000
0 1 80.8082
0 2 83.9081
0 6 94.936
0 36 18.8156
0 60 79.9747
0 1047 50.7736
0 2137 67.7293
0 2974 82.2099
0 11895 49.1038
0 12450 65.879
0 6205 80.0397
0 5604 52.482
0 4305 74.7448
0 2055 58.9265
0 12041 54.3146
0 5417 31.2677
0 10954 48.6179
0 14671 97.5124
1 0 80.8082
1 3 3.18467
1 4 50.9424
1 5 25.368
1 7 8.03377
1 20 51.0164
1 29 13.8018
1 81 12.1454
1 102 35.0296
1 144 61.4664
1 1685 92.1456
1 1799 73.1181
1 1864 58.7181
1 3243 62.8868
1 3463 25.1762
1 6371 61.0956
1 6103 94.226
1 14816 62.5724
1 7742 92.3911
1 1757 69.9138
1 1120 1.86497
1 14053 73.6148
1 1441 47.3689
1 12624 82.4454
2 0 83.9081
2 313 21.3851
2 345 33.1573
2 450 42.0174
2 2771 71.1156
2 3559 80.3447
2 4438 47.7156
2 5816 72.7799
2 6527 44.1612
2 13864 97.9232
2 7522 61.2402
2 9379 61.1994
2 2313 67.3507
2 11560 28.1339
2 5980 38.7465
2 7233 24.8888
2 8848 47.7582
3 1 3.18467
3 10 23.4143
3 11 37.2319
3 26 65.4054
3 57 29.3963
3 61 48.1123
3 601 26.6597
3 1651 26.2184
3 5000 84.4096
3 11052 66.3599
3 11501 61.2669
3 13174 61.907
3 5524 76.9689
3 13051 75.8172
3 12904 13.4311
3 8832 77.5551
3 5044 1.14155
4 1 50.9424
4 12 86.082
4 15 58.9902
4 23 92.0151
4 49 55.9469
4 105 29.8173
4 217 64.8801
4 559 7.8548
4 2792 78.958
4 3769 91.3908
4 4161 91.3265
4 4385 78.961
4 6210 59.1905
4 8551 7.20602
4 9402 74.0552
4 12425 69.5497
4 12689 18.8278
4 1674 25.6144
4 11935 74.0557
4 5624 50.5523
4 9013 79.2038
4 1209 53.0719
5 1 25.368
5 63 14.6038
5 159 74.3945
5 1359 36.29
5 2669 7.61312
5 5179 30.8696
5 6024 43.3556
5 10614 42.4584
5 341 53.9667
5 13363 66.2431
5 10433 20.0618
5 12218 62.2785
6 0 94.936
6 8 88.1084
6 46 31.7029
6 64 51.4291
6 67 32.4696
6 173 93.8669
6 1252 59.2379
6 1257 90.4944
6 1529 7.70657
6 5067 6.72213
6 11489 51.6781
6 12704 94.2762
6 12228 37.8648
6 14666 37.1558
6 7111 95.3513
6 5712 16.7042
6 9542 92.5585
7 1 8.03377
7 9 26.073
7 16 84.4126
7 37 76.6936
7 1601 59.8755
7 3788 37.5548
7 5897 16.1015
7 13143 91.218
7 11830 89.6003
7 14005 32.5523
7 13297 59.3491
7 4828 81.3936
7 11570 20.4772
8 6 88.1084
8 25 70.7243
8 2239 40.0748
8 8166 4.71105
8 7531 12.4773
8 10634 63.9249
8 14605 76.8906
8 7212 85.1775
8 13595 93.1135
8 7432 57.6702
8 10764 33.5525
9 7 26.073
9 19 59.4539
9 59 21.5256
9 95 53.1193
9 109 52.4246
9 587 49.1325
9 1144 96.7225
9 1502 63.2399
9 3227 10.2432
9 3311 23.4059
9 9787 12.0739
9 11719 73.7512
9 11569 82.6077
9 10888 87.1561
9 966 72.3717
9 14759 9.17494
9 3755 54.0097
9 10164 87.6178
9 13507 71.8274
9 2995 64.7394
10 3 23.4143
10 14 55.3221
10 91 28.3786
10 177 70.1181
10 4775 19.9343
10 5014 60.303
10 13183 30.0024
10 2566 27.1575
10 6083 55.5926
10 14791 45.1573
10 741 71.3275
10 5606 37.0216
10 11006 66.0916
10 5896 87.9093
10 7858 1.99031
10 6730 8.9974
10 10500 73.3876
11 3 37.2319
11 17 42.7526
11 42 99.2864
11 56 18.9851
11 140 37.8759
11 505 68.2781
11 3381 96.1414
11 5825 89.7278
11 6004 30.5732
11 6784 66.9581
11 14913 31.2148
11 3567 26.711
11 3488 84.9557
11 12342 34.0829
11 1072 81.2216
12 4 86.082
12 13 63.7621
12 28 44.0212
12 92 74.3754
12 147 14.2006
12 200 80.6854
12 660 61.6931
12 673 40.0155
12 1443 60.8306
12 1585 97.5904
12 12189 85.9653
12 1652 23.3296
13 12 63.7621
13 126 59.6506
13 276 16.9056
13 774 13.9082
13 1255 86.0736
13 6126 92.5231
13 8814 38.3964
13 9065 72.0581
13 14428 8.29141
13 4648 46.5146
13 4470 15.7714
